date	id	username	text	opponent_mentioned
2020-10-08	1314288576146927619	RealDonaldTrump	Looking forward to speaking with the Great Rush and guests! 	False
2020-10-08	1314287202935992320	RealDonaldTrump	Crazy Nancy is the one who should be under observation. They don’t call her Crazy for nothing! 	False
2020-10-08	1314287204873764865	RealDonaldTrump	Kamala Harris Lied Repeatedly and Got Away With It: 	False
2020-10-08	1314279388570169345	RealDonaldTrump	Joe Biden has no plan for Coronavirus - ALL TALK! He was a disaster in his handling of H1N1 Swine Flu. He didn’t have a clue, with his own Chief of Staff so saying. If he were in charge, perhaps 2.2 million people would have died from this much more lethal disease!	True
2020-10-08	1314278414359113735	RealDonaldTrump	Joe Biden has no plan for Coronavirus - ALL TALK! He was a disaster in his handling oh H1N1 Swine Flu. He didn’t have a clue, with his own Chief of Staff so saying. If he were in charge, perhaps 2.2 million people would have died from this much more lethal disease!	True
2020-10-08	1314252606110412806	RealDonaldTrump	TO MY FAVORITE PEOPLE IN THE WORLD! 	False
2020-10-08	1314236926770241537	RealDonaldTrump	The Great Commonwealth of Pennsylvania would absolutely die without the jobs and dollars brought in by Fracking. Massive numbers! Now Biden &amp; Harris, after Radical Left Dem Primaries, are trying to change their stance. Pennsylvania wants Energy and Second Amendment!	True
2020-10-08	1314234952612024322	RealDonaldTrump	If a Republican LIED like Biden and Harris do, constantly, the Lamestream Media would be calling them out at a level never recorded before. For one year they called for No Fracking and big Tax Increases. Now they each say opposite. Fake News is working overtime!	True
2020-10-08	1314229843018555392	RealDonaldTrump	Biden will Shutdown the Economy at the tip of a hat, raise your Taxes, knock out your Second Amendment and Defund, or close, your Police. The Suburbs would be next, get ready. Also, and incredibly, PACK THE UNITED STATES SUPREME COURT. This is not what the USA wants!!!  #MAGA	True
2020-10-08	1314175772563832833	RealDonaldTrump		False
2020-10-08	1314170540668657664	RealDonaldTrump	Will be interviewed by @MariaBartiromo at 8:00 A.M.  @FoxBusiness  Great Jobs Numbers &amp; Economy, Plus!	False
2020-10-08	1314037081392525312	RealDonaldTrump	Mike Pence WON BIG!	False
2020-10-08	1314036989226778624	RealDonaldTrump		False
2020-10-08	1314035056441257985	RealDonaldTrump		False
