date	id	username	text	opponent_mentioned
2020-10-20	1318361290306392064	JoeBiden	Pennsylvania — there are just a few hours left to register to vote online. Don’t miss your chance to make your voice heard in this election. Head to  and register before 11:59 PM.	False
2020-10-20	1318357515680116737	JoeBiden	For once, Donald Trump is correct: I will listen to scientists. 	True
2020-10-20	1318352230458609664	JoeBiden	I will be a president who pushes towards the future. Not one who clings to the past.	False
2020-10-20	1318342919305166850	JoeBiden	.@realDonaldTrump — if you had listened to the scientists, it wouldn't be this bad. 	True
2020-10-19	1318328574881918976	JoeBiden	Folks, the Avengers are coming back together for their biggest battle yet. Join them and @KamalaHarris tomorrow night for a grassroots fundraiser you won’t want to miss:  	False
2020-10-19	1318322534937395200	JoeBiden	We are in a battle for the soul of this nation — and it’s a battle we can and must win.  Vote. 	False
2020-10-19	1318286327721480194	JoeBiden	...yes 	False
2020-10-19	1318275726752256000	JoeBiden	Early voting starts today in:  Alaska Arkansas Colorado Florida (in most counties) Idaho (in some counties) North Dakota  Don't wait until November 3rd to cast your ballot — vote early today:  	False
2020-10-19	1318266163726487558	JoeBiden	This election is about so much more than policies. The soul of America is on the ballot.   @KamalaHarris and I will work every day to bind up our wounds and bring this country back together. 	False
2020-10-19	1318237222764642304	JoeBiden	It’s long past time we build an economy that rewards work — not wealth. 	False
2020-10-19	1318216587212582913	JoeBiden	Together, we can put an end to the last four years of darkness, division, and chaos.  We can unite, mend our wounds, and begin to heal.  It starts at the ballot box:  	False
2020-10-19	1318182614570692608	JoeBiden	15 days. Let’s finish strong.	False
2020-10-19	1318170176660135936	JoeBiden	...yes 	False
2020-10-19	1317993870257389568	JoeBiden	You have the power to own the outcome of this election — but only if you vote.  Head to  and make your plan to cast your ballot today.	False
2020-10-19	1317978773707345920	JoeBiden	Wear a mask. Wash your hands. Vote out Donald Trump.	True
2020-10-18	1317966186907226113	JoeBiden	I’ve had a rule my entire life: No matter what’s happening, no matter how important the meeting, I’ll always answer a call from my grandchildren. 	False
2020-10-18	1317952345544794112	JoeBiden	We are in a battle for the soul of the nation.   The forces of darkness, the forces of division, the forces of yesterday are pulling us apart, holding us down, and holding us back.  We must free ourselves of all of them.	False
2020-10-18	1317942279353454592	JoeBiden	I believe there is not a single thing we cannot accomplish as a country if we do it together. 	False
2020-10-18	1317934981432430592	JoeBiden	The truth is things in life are easier when you have a plan — and that includes voting. So my team set up a tool to help you make your plan to vote. Check it out: 	False
2020-10-18	1317918374341476353	JoeBiden	From tackling climate change to making community college free for all — I've got big plans for the country.  And I'll pay for them by making sure the super-wealthy, like President Trump, pay more than $750 in federal income taxes.	True
2020-10-18	1317907047099191297	JoeBiden	I’ve spent my entire career fighting for a more just, safe, and prosperous America — and I’m not finished yet. 	False
2020-10-18	1317895724105895939	JoeBiden	COVID-19 cases are on the rise across the nation.  But instead of leading by example, Donald Trump continues to put others in danger with his campaign events that ignore expert-recommended precautions.  Every day he proves just how unfit he is to lead America through this crisis.	True
2020-10-18	1317881721111539719	JoeBiden	I’m in Durham, North Carolina, encouraging folks to make their plan to vote early. Tune in — and then head to  to make yours. 	False
2020-10-18	1317873073345921024	JoeBiden	Folks, if you live in Illinois, today is your last day to register to vote online. Don’t wait, head to  and register before it’s too late.	False
2020-10-18	1317865525012131841	JoeBiden	Chip in to help us make Donald Trump a one-term president: 	True
2020-10-18	1317844887614771200	JoeBiden	Turns out Twitter isn’t so bad when you read tweets that aren’t from President Trump. 	True
2020-10-18	1317832808254083072	JoeBiden	I often think about what it takes for a Black person to love America. That is a deep love for this country that, for far too long, has not been recognized.  It’s time we fulfilled our nation’s founding promise: equality for all.   Here’s how we’ll do it: 	False
2020-10-18	1317623931914813444	JoeBiden	A job is about a lot more than a paycheck.  It's about dignity. It's about respect. It's about being able to look your kid in the eye and say everything will be okay.  Too many people today can't do that — and it's got to change.	False
2020-10-17	1317605057215500289	JoeBiden	Every day we're reminded just how much is at stake in this election. We can't afford to have anyone sit on the sidelines.  Vote. 	False
2020-10-17	1317589957704355843	JoeBiden	In the middle of a pandemic, President Trump is trying to eliminate Obamacare and increase health care costs for millions.  Now, he’s rushing through a U.S. Supreme Court justice to help him get it done. It’s unconscionable.   Make no mistake: Health care is on the ballot.	True
2020-10-17	1317574858302128129	JoeBiden	If we do our part, if we stand together, if we keep faith with the past and with each other — then the divisions of our time can give way to the dreams of a brighter, better future.   That is our work. That is our pledge. That is our mission.	False
2020-10-17	1317554725596942336	JoeBiden	Promise? 	False
2020-10-17	1317545917776564224	JoeBiden	This election is bigger than any one candidate.   It's about the future of our economy, our health care, our climate, our commitment to racial justice, our democracy –– and so much more.  We have to vote. 	False
2020-10-17	1317525784836382721	JoeBiden	As president, I’ll protect and build on Obamacare by:  - Giving Americans the choice to buy a new public option - Lowering premiums, deductibles, and co-pays - Standing up to prescription drug corporations  We’re going to make sure every American has access to the care they need.	False
2020-10-17	1317510433851412482	JoeBiden	You deserve a president who will actually tell you the truth. 	False
2020-10-17	1317499360947654658	JoeBiden	Nevada — early voting has officially started. Join the over 20 million people across the country who have already voted early and cast your ballot today. 	False
2020-10-17	1317488036851089410	JoeBiden	Voting is your opportunity to be in the room where it happens.  Don't throw away your shot:  	False
2020-10-17	1317472937159610373	JoeBiden	As the Hindu festival of Navratri begins, Jill and I send our best wishes to all those celebrating in the U.S. and around the world. May good once again triumph over evil — and usher in new beginnings and opportunity for all.	False
2020-10-17	1317465638953168899	JoeBiden	We’ve got to come together to defeat Donald Trump –– Democrats, Independents, Republicans, and yes, even Demo-cats. 	True
2020-10-17	1317262047420190720	JoeBiden	Folks, millions of you have already requested absentee ballots. It’s essential to return your ballots as soon as you can. You can return your ballot by mail or, in most states, at locations designated by your clerk. Head to  to learn more. 	False
2020-10-16	1317252484071624708	JoeBiden	Violence against transgender and gender non-conforming people — particularly Black and Brown transgender women — is an epidemic that needs national leadership. But Donald Trump has done nothing but fan the flames of transphobia.  It has to end. 	True
2020-10-16	1317243927817113600	JoeBiden	Let’s be clear: The emergency aid should have never been denied in the first place. 	False
2020-10-16	1317230581994811392	JoeBiden	The election is underway across the country, and millions of Americans have already cast their ballots. I’m in Detroit, Michigan, to encourage folks to join them and vote early. Tune in. 	False
2020-10-16	1317226311669014528	JoeBiden	Not only does President Trump refuse to grant Temporary Protected Status to Venezuelans, but he also apparently used stealth deportations to send them back to the oppressive Maduro regime.  It’s abundantly clear he has no regard for the suffering of the Venezuelan people. 	True
2020-10-16	1317216245679378432	JoeBiden	You have the power to prevent 2016 from happening again — but only if you vote.   	False
2020-10-16	1317202907444334592	JoeBiden	We need a president who will expand access to health care — not one who does everything he can to tear it away.	False
2020-10-16	1317187255019077632	JoeBiden	We can’t let President Trump tear down Obamacare — we have to protect and build on it. Tune in as I speak live from Michigan about my plans to give more Americans access to affordable health care. 	True
2020-10-16	1317162642142875654	JoeBiden	I know times are tough, but I promise our best days still lie ahead. Together, we're going to overcome these crises, unite the country, and build a better future for all.	False
2020-10-16	1317151066035802112	JoeBiden	The cast of Hamilton knows we're engaged in a battle for this nation's very soul — and this election is too important to sit out. So they're coming together for a grassroots fundraiser tonight that you won't want to miss.  Chip in to reserve your spot: 	False
2020-10-16	1317118107882803203	JoeBiden	.@JLo and @AROD –– Jill and I are deeply grateful to have your support.  Thank you for stepping up and speaking out. As Jennifer said: The Latino community has the power to determine the outcome of this election.   Vote:  	False
2020-10-16	1317113065544929282	JoeBiden	Louisiana –– early voting begins today across the state. Head to  to find all the info you need to cast your ballot.	False
2020-10-16	1317108032317267968	JoeBiden	Nebraska — today is your last day to register to vote online and by mail. Head to  to get registered before it’s too late.	False
